time_s,T_core_C,T_skin_C,T_layer1_C,T_pcm_C,T_layer3_C,skin_blood_flow_eq_L_m2_h,skin_blood_flow_actual_L_m2_h,d_skin_blood_flow_dt_L_m2_h_s,tau_blood_flow_s,alpha_skin,d_alpha_skin_dt_1_s,C_core_J_K,C_skin_J_K,q_cs_W_m2,q_res_lat_W_m2,q_res_sens_W_m2,q_res_total_W_m2,q_s1_W_m2,q_12_W_m2,q_23_W_m2,q_3inf_W_m2,h_in_W_m2K,h_nat_W_m2K,h_forced_W_m2K,h_out_W_m2K,wind_speed_m_s,metabolic_rate_W_m2,c_eff_pcm_J_kgK,pcm_phase_fraction,pcm_latent_released_J,dm_core_to_skin_kg_s,enthalpy_mass_transfer_W,energy_balance_residual_J
10595,35.6445683437,19.7147856036,-27.8288693851,-29.4102578718,-30.5631714313,0.788228402043,0.794967476177,-3.89541857456e-05,173,0.581611196625,1.5234110843e-05,87610.6154266,121789.384573,98.8370884953,9.4116,9.6348,19.0464,186.338244336,186.475867791,186.566667111,186.641711927,4,4.17141572018,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000914046650578,113.706986087,-1.8936422728
10600,35.6422216834,19.7109374524,-27.8296563444,-29.4109427957,-30.563781863,0.788038695985,0.794772777413,-3.89253261713e-05,173,0.581687349699,1.52271196779e-05,87594.6689731,121805.331027,98.842797171,9.4116,9.6348,19.0464,186.326246581,186.46383588,186.554612639,186.629638801,4,4.17134826038,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000913627180673,113.647321758,-1.89364227327
10605,35.639874058,19.7070902448,-27.8304431084,-29.4116275495,-30.5643921431,0.787849127698,0.794578222853,-3.88965037892e-05,173,0.581763467834,1.5220135333e-05,87578.7298357,121821.270164,98.8484959979,9.4116,9.6348,19.0464,186.314251759,186.451806931,186.542561151,186.617568675,4,4.17128081407,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000913208119978,113.587712123,-1.89364227327
10610,35.6375254683,19.7032439798,-27.8312296773,-29.4123121333,-30.5650022716,0.787659697007,0.794383812313,-3.88677185331e-05,173,0.581839551064,1.52131577987e-05,87562.7980073,121837.201993,98.8541849847,9.4116,9.6348,19.0464,186.302259866,186.439780943,186.530512643,186.605501546,4,4.17121338124,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000912789467921,113.528157107,-1.89364227327
10615,35.635175915,19.6993986565,-27.8320160513,-29.4129965474,-30.5656122486,0.787470403738,0.794189545606,-3.88389703368e-05,173,0.581915599423,1.52061870656e-05,87546.8734809,121853.126519,98.8598641399,9.4116,9.6348,19.0464,186.290270901,186.427757913,186.518467113,186.593437413,4,4.17114596187,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000912371223933,113.468656636,-1.89364227233
10620,35.632825399,19.6955542743,-27.8328022306,-29.4136807917,-30.5662220744,0.787281247718,0.793995422548,-3.88102591344e-05,173,0.581991612945,1.51992231241e-05,87530.9562492,121869.043751,98.8655334722,9.4116,9.6348,19.0464,186.278284861,186.415737838,186.506424558,186.581376271,4,4.17107855596,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000911953387445,113.409210636,-1.89364227327
10625,35.6304739211,19.6917108321,-27.8335882154,-29.4143648666,-30.566831749,0.787092228773,0.793801442953,-3.87815848599e-05,173,0.582067591665,1.51922659648e-05,87515.0463053,121884.953695,98.8711929902,9.4116,9.6348,19.0464,186.266301742,186.403720716,186.494384976,186.569318118,4,4.17101116349,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000911535957889,113.349819033,-1.8936422742
10630,35.6281214818,19.6878683292,-27.8343740058,-29.415048772,-30.5674412727,0.78690334673,0.793607606638,-3.87529474478e-05,173,0.582143535616,1.51853155783e-05,87499.1436419,121900.856358,98.8768427025,9.4116,9.6348,19.0464,186.254321543,186.391706543,186.482348365,186.557262952,4,4.17094378445,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000911118934697,113.290481753,-1.89364227373
10635,35.6257680822,19.6840267648,-27.8351596019,-29.4157325083,-30.5680506454,0.786714601416,0.793413913418,-3.87243468324e-05,173,0.582219444832,1.5178371955e-05,87483.2482521,121916.751748,98.8824826176,9.4116,9.6348,19.0464,186.242344262,186.379695318,186.47031472,186.54521077,4,4.17087641882,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000910702317303,113.231198723,-1.89364227187
10640,35.6234137229,19.680186138,-27.8359450041,-29.4164160755,-30.5686598675,0.786525992658,0.793220363108,-3.86957829483e-05,173,0.582295319347,1.51714350857e-05,87467.3601287,121932.639871,98.8881127442,9.4116,9.6348,19.0464,186.230369894,186.367687037,186.45828404,186.53316157,4,4.17080906659,20.9578147716,20.9578147716,3,93,2400,1,55802.4905786,0.000910286105142,113.171969869,-1.89364227233
